iter	Passed	Remaining
0	60	302960
1	62	156552
2	64	107234
3	66	83236
4	68	68541
5	70	58344
6	71	51087
7	73	45642
8	74	41401
9	76	37994
10	77	35253
11	79	32930
12	81	31154
13	82	29475
14	84	27988
15	85	26682
16	86	25467
17	88	24375
18	89	23386
19	90	22465
20	91	21610
21	91	20805
22	92	20050
23	93	19355
24	94	18715
25	95	18174
26	95	17636
27	96	17132
28	97	16660
29	97	16225
30	98	15814
31	99	15437
32	100	15083
33	100	14745
34	101	14420
35	102	14112
36	103	13867
37	104	13600
38	104	13341
39	105	13098
40	106	12863
41	107	12646
42	107	12432
43	109	12279
44	109	12089
45	110	11903
46	111	11726
47	111	11552
48	112	11383
49	113	11223
50	114	11070
51	114	10924
52	115	10781
53	116	10642
54	116	10510
55	117	10384
56	118	10264
57	119	10153
58	119	10044
59	120	9934
60	121	9830
61	122	9731
62	122	9632
63	123	9536
64	124	9464
65	125	9375
66	126	9290
67	126	9207
68	127	9125
69	128	9043
70	129	8966
71	129	8891
72	130	8823
73	131	8750
74	132	8678
75	132	8608
76	133	8541
77	134	8476
78	135	8410
79	135	8347
80	136	8286
81	137	8224
82	137	8165
83	138	8108
84	139	8078
85	140	8028
86	141	7978
87	142	7926
88	142	7875
89	143	7824
90	144	7775
91	144	7730
92	145	7688
93	146	7643
94	147	7598
95	147	7554
96	148	7510
97	149	7470
98	150	7428
99	150	7386
100	151	7349
101	152	7310
102	153	7278
103	153	7242
104	154	7210
105	155	7180
106	156	7144
107	157	7113
108	157	7079
109	158	7048
110	159	7015
111	160	6986
112	160	6953
113	161	6921
114	162	6911
115	163	6897
116	164	6867
117	165	6840
118	166	6826
119	167	6810
120	170	6865
121	171	6841
122	171	6814
123	172	6794
124	173	6772
125	174	6745
126	175	6750
127	177	6738
128	177	6718
129	179	6717
130	180	6703
131	181	6679
132	181	6655
133	182	6634
134	183	6611
135	184	6586
136	184	6562
137	185	6549
138	186	6525
139	187	6501
140	188	6488
141	190	6530
142	192	6523
143	192	6504
144	193	6482
145	194	6460
146	195	6442
147	195	6421
148	196	6400
149	197	6384
150	198	6375
151	201	6431
152	202	6411
153	203	6390
154	203	6373
155	204	6356
156	206	6355
157	206	6341
158	207	6324
159	209	6335
160	210	6334
161	212	6340
162	213	6324
163	213	6305
164	214	6286
165	215	6268
166	215	6250
167	216	6233
168	217	6216
169	218	6204
170	220	6238
171	222	6239
172	223	6234
173	224	6217
174	224	6201
175	225	6185
176	226	6169
177	227	6154
178	227	6140
179	229	6135
180	230	6143
181	231	6139
182	232	6124
183	233	6122
184	234	6111
185	235	6095
186	236	6080
187	236	6065
188	237	6052
189	238	6038
190	239	6028
191	243	6086
192	243	6071
193	244	6057
194	245	6044
195	246	6031
196	246	6019
197	247	6006
198	248	6001
199	249	5995
200	250	5989
201	253	6011
202	253	6001
203	254	5988
